Attribute Name	Elements	Description
slot	Global attribute	Assigns a slot in a shadow DOM shadow tree to an element.
span	<col>, <colgroup>	
spellcheck	Global attribute	Indicates whether spell checking is allowed for the element.
src	<audio>, <embed>, <iframe>, <img>, <input>, <script>, <source>, <track>, <video>	The URL of the embeddable content.
srcdoc	<iframe>	
srclang	<track>	
srcset	<img>, <source>	One or more responsive image candidates.
start	<ol>	Defines the first number if other than 1.
step	<input>	
style	Global attribute	Defines CSS styles which will override styles previously set.
summary Deprecated	<table>	
tabindex	Global attribute	Overrides the browser's default tab order and follows the one specified instead.
target	<a>, <area>, <base>, <form>	Specifies where to open the linked document (in the case of an <a> element) or where to display the response received (in the case of a <form> element)
title	Global attribute	Text to be displayed in a tooltip when hovering over the element.
translate	Global attribute	Specify whether an element's attribute values and the values of its Text node children are to be translated when the page is localized, or whether to leave them unchanged.
type	<button>, <input>, <command>, <embed>, <object>, <script>, <source>, <style>, <menu>, <link>	Defines the type of the element.
usemap	<img>, <input>, <object>	
value	<button>, <data>, <input>, <li>, <meter>, <option>, <progress>, <param>	Defines a default value which will be displayed in the element on page load.
width	<canvas>, <embed>, <iframe>, <img>, <input>, <object>, <video>	For the elements listed here, this establishes the element's width.	Note: For all other instances, such as <div>, this is a legacy attribute, in which case the CSS width property should be used instead.
wrap	<textarea>	Indicates whether the text should be wrapped.
